"NO TOMAR EN CUENTA  ","device","co","humidity","light","lpg","motion","smoke","temp",FECHA 
"1.5945120943859746E9","b8:27:eb:bf:9d:51","0.004955938648391245","51.0","false","0.00765082227055719","false","0.02041127012241292","22.7",25/05/2021 15:05
"1.5945120947355676E9","00:0f:00:70:91:0a","0.0028400886071015706","76.0","false","0.005114383400977071","false","0.013274836704851536","19.700000762939453",31/05/2021 19:05
"1.5945120980735729E9","b8:27:eb:bf:9d:51","0.004976012340421658","50.9","false","0.007673227406398091","false","0.02047512557617824","22.6",13/09/2021 02:09
"1.594512099589146E9","1c:bf:ce:15:ec:4d","0.004403026829699689","76.80000305175781","true","0.007023337145877314","false","0.018628225377018803","27.0",05/03/2021 21:03
"1.594512101761235E9","b8:27:eb:bf:9d:51","0.004967363641908952","50.9","false","0.007663577282372411","false","0.020447620810233658","22.6",16/10/2020 00:10
"1.5945121044684107E9","1c:bf:ce:15:ec:4d","0.004391003954583357","77.9000015258789","true","0.007009458543138704","false","0.01858890754005078","27.0",16/08/2021 15:08
"1.5945121054488637E9","b8:27:eb:bf:9d:51","0.004976025118224167","50.9","false","0.007673241660297752","false","0.020475166204362245","22.6",28/12/2021 19:12
"1.594512106869076E9","00:0f:00:70:91:0a","0.0029381156266604295","76.0","false","0.005241481841731117","false","0.013627521132019194","19.700000762939453",16/08/2021 15:08
"1.5945121082753816E9","1c:bf:ce:15:ec:4d","0.004345471359573249","77.9000015258789","true","0.006956802377235561","false","0.01843978190211682","27.0",27/12/2020 09:12
